,id,file,x1,y1,x2,y2,label
0,2,Screenshot_2022-09-02_182831.jpg,48.2,380.26,65.25,419.84,4
1,2,Screenshot_2022-09-02_182831.jpg,132.39,491.61,145.28,530.95,4
2,2,Screenshot_2022-09-02_182831.jpg,151.54,499.62,167.56,527.12,4
3,2,Screenshot_2022-09-02_182831.jpg,233.71,480.12,270.96,496.83,4
4,2,Screenshot_2022-09-02_182831.jpg,232.31,498.92,265.39,514.94,4
5,2,Screenshot_2022-09-02_182831.jpg,204.47,564.37,221.18,600.93,4
6,2,Screenshot_2022-09-02_182831.jpg,184.62,565.42,204.47,603.72,4
7,2,Screenshot_2022-09-02_182831.jpg,164.08,567.16,180.44,596.4,4
8,2,Screenshot_2022-09-02_182831.jpg,145.98,559.85,160.6,597.45,4
9,2,Screenshot_2022-09-02_182831.jpg,126.13,564.03,140.76,600.58,4
10,2,Screenshot_2022-09-02_182831.jpg,65.8,657.77,78.81,687.64,4
11,2,Screenshot_2022-09-02_182831.jpg,18.57,740.91,39.55,777.38,4
12,2,Screenshot_2022-09-02_182831.jpg,214.39,717.16,245.79,729.27,4
13,2,Screenshot_2022-09-02_182831.jpg,372.75,786.7,385.31,817.2,4
14,2,Screenshot_2022-09-02_182831.jpg,445.36,657.17,464.51,693.81,4
15,2,Screenshot_2022-09-02_182831.jpg,467.01,646.77,484.49,683.4,4
16,2,Screenshot_2022-09-02_182831.jpg,489.9,655.51,502.81,683.4,4
17,2,Screenshot_2022-09-02_182831.jpg,504.06,626.78,522.38,666.75,9
18,2,Screenshot_2022-09-02_182831.jpg,531.95,619.29,546.94,652.59,4
19,2,Screenshot_2022-09-02_182831.jpg,573.58,613.46,590.65,652.18,4
20,2,Screenshot_2022-09-02_182831.jpg,522.18,558.09,559.26,574.61,4
21,2,Screenshot_2022-09-02_182831.jpg,521.51,518.66,558.25,535.18,4
22,2,Screenshot_2022-09-02_182831.jpg,519.49,495.74,557.57,514.28,4
23,2,Screenshot_2022-09-02_182831.jpg,334.32,536.25,340.74,551.98,2
24,2,Screenshot_2022-09-02_182831.jpg,332.4,517.95,340.42,534.64,2
25,2,Screenshot_2022-09-02_182831.jpg,332.4,497.41,341.38,513.78,2
26,2,Screenshot_2022-09-02_182831.jpg,335.61,468.51,344.27,486.17,2
27,2,Screenshot_2022-09-02_182831.jpg,366.73,422.36,382.55,453.65,4
28,2,Screenshot_2022-09-02_182831.jpg,401.54,410.4,420.18,448.38,4
29,2,Screenshot_2022-09-02_182831.jpg,426.15,420.25,443.03,455.41,4
30,2,Screenshot_2022-09-02_182831.jpg,443.73,442.05,484.87,458.92,4
31,2,Screenshot_2022-09-02_182831.jpg,499.29,419.19,518.62,452.95,4
32,2,Screenshot_2022-09-02_182831.jpg,541.6,175.12,563.39,218.89,4
33,2,Screenshot_2022-09-02_182831.jpg,456.8,63.2,477.19,100.35,4
34,2,Screenshot_2022-09-02_182831.jpg,382.22,69.54,420.56,91.57,4
35,2,Screenshot_2022-09-02_182831.jpg,375.7,52.78,412.85,68.63,4
36,2,Screenshot_2022-09-02_182831.jpg,376.16,32.84,413.76,49.6,4
37,2,Screenshot_2022-09-02_182831.jpg,642.87,46.38,670.28,62.12,4
38,2,Screenshot_2022-09-02_182831.jpg,646.93,7.8,676.02,25.82,4
39,2,Screenshot_2022-09-02_182831.jpg,717.84,231.71,745.4,248.64,4
40,2,Screenshot_2022-09-02_182831.jpg,779.24,204.64,817.93,221.08,4
41,2,Screenshot_2022-09-02_182831.jpg,783.11,244.77,820.34,261.21,4
42,2,Screenshot_2022-09-02_182831.jpg,793.27,358.88,832.43,376.29,4
43,2,Screenshot_2022-09-02_182831.jpg,840.65,348.24,878.85,365.65,4
44,2,Screenshot_2022-09-02_182831.jpg,846.94,371.45,876.92,387.41,4
45,2,Screenshot_2022-09-02_182831.jpg,855.0,388.86,884.65,403.16,4
